,utt,관광지 추천,날씨 묻기,맛집 추천,숙소 추천,인사,카페 추천,활동 추천
1780,근데 부산 친구랑 놀기 좋은 곳 부탁할게,1,0,0,0,0,0,0
1419,저기 부산 감성적인 곳 알려줄 수 있나요?,0,0,1,0,0,0,0
3305,있잖아 부산 가족과 할만한 것 부탁할게,0,0,0,0,0,0,1
3683,부산 디저트 맛있는 곳 흠 알려줘,0,0,1,0,0,0,0
3577,부산 저기 가까운 카페 추천해줘,0,0,0,0,0,1,0
2105,흠 부산 유명한 숙소 알려줘,0,0,0,1,0,0,0
1104,부산은 친구랑 놀기 좋은 곳 저기 좋아?,1,0,0,0,0,0,0
1805,부산 데이트하기 좋은 곳 아 부탁할게,0,0,1,0,0,0,0
1595,있잖아 부산 조용한 곳 추천해주세요,0,0,1,0,0,0,0
2026,부산 친구랑 놀기 좋은 곳 혹시 추천해주세요,1,0,0,0,0,0,0
1227,음 부산 추위 알려줘,0,1,0,0,0,0,0
151,부산 음 관광지 알려줄 수 있나요?,1,0,0,0,0,0,0
1328,아 부산 밖에 부탁드려요,0,1,0,0,0,0,0
2146,저기 부산 친절한 숙소 부탁해,0,0,0,1,0,0,0
3143,부산은 감성적인 곳 흠 좋아?,0,0,1,0,0,0,0
2065,혹시 부산 주위가 조용한 숙소 알려주세요,0,0,0,1,0,0,0
644,부산 깨끗한 숙소 부탁드려요,0,0,0,1,0,0,0
346,혹시 부산은 어디가 좋아?,1,0,0,0,0,0,0
396,저기 부산 액티비티 알려주세요,0,0,0,0,0,0,1
2885,부산 맛있는 곳 알려줄 아 수 있나요?,0,0,1,0,0,0,0
582,부산 예쁜 곳 부탁드려요,0,0,1,0,0,0,0
3145,부산은 가까운 곳 흠 좋아?,0,0,1,0,0,0,0
3615,있잖아 부산 가까운 카페,0,0,0,0,0,1,0
1220,부산 밖에 알려줄 수 흠 있나요?,0,1,0,0,0,0,0
1089,저기 부산은 데이트하기 좋은 곳 좋아?,0,0,1,0,0,0,0
3684,부산 디저트 많은 곳 흠 알려줘,0,0,0,0,0,1,0
1020,부산 주차하기 편한 곳 음 알려줘,0,0,1,0,0,0,0
490,부산은 웨이팅 없는 곳 좋아?,0,0,1,0,0,0,0
1728,부산 혹시 분위기 있는 곳 부탁드려요,0,0,1,0,0,0,0
3371,근데 부산 놀만한 것 추천해 주실 수 있나요?,0,0,0,0,0,0,1
3189,부산 유명한 거 저기 알려주세요,0,0,0,0,0,0,1
1044,부산 주차하기 편한 곳 저기 추천해줘,0,0,1,0,0,0,0
2906,흠 부산 웨이팅 없는 곳 부탁드려요,0,0,1,0,0,0,0
1335,부산 추위 음 부탁드려요,0,1,0,0,0,0,0
598,부산 감성적인 곳 부탁할게,0,0,1,0,0,0,0
3406,혹시 부산 전망 좋은 카페,0,0,0,0,0,1,0
1176,부산 커피 전문점 있잖아 알려줘,0,0,0,0,0,1,0
1822,부산 근데 웨이팅 없는 곳 추천해줘,0,0,1,0,0,0,0
3504,부산 있잖아 메뉴가 다양한 카페 부탁드려요,0,0,0,0,0,1,0
192,부산 저기 관광지 부탁해,1,0,0,0,0,0,0
2699,부산 저기 친절한 곳 알려줄 수 있나요?,0,0,1,0,0,0,0
1685,어 부산 분위기 있는 곳 알려줄 수 있나요?,0,0,1,0,0,0,0
834,부산 아 온도 어때?,0,1,0,0,0,0,0
3616,부산 어 커피 전문점,0,0,0,0,0,1,0
3056,부산은 어 웨이팅 없는 곳 좋아?,0,0,1,0,0,0,0
521,부산 온도,0,1,0,0,0,0,0
946,있잖아 부산 주위가 조용한 숙소 알려줘,0,0,0,1,0,0,0
2842,어 부산 감성적인 곳,0,0,1,0,0,0,0
2009,아 부산 예쁜 곳 추천해주세요,0,0,1,0,0,0,0
792,부산 가까운 카페 알려줄 수 있나요?,0,0,0,0,0,1,0
2053,저기 부산 분위기 있는 숙소,0,0,0,1,0,0,0
3508,부산 디저트 많은 곳 근데 부탁드려요,0,0,0,0,0,1,0
994,있잖아 부산 감성적인 곳 알려줘,0,0,1,0,0,0,0
600,부산 가까운 곳 부탁할게,0,0,1,0,0,0,0
936,부산 가까운 곳 아 추천해줘,0,0,1,0,0,0,0
439,부산 가까운 곳 알려줘,0,0,1,0,0,0,0
2676,부산 감성적인 곳 아 알려주세요,0,0,1,0,0,0,0
3286,부산 음 재미있는 거 부탁해,0,0,0,0,0,0,1
87,부산 맛집 있잖아 어디야?,0,0,1,0,0,0,0
1417,부산 조용한 곳 있잖아 알려주세요,0,0,1,0,0,0,0
2682,부산 친절한 곳 아 알려주세요,0,0,1,0,0,0,0
3226,근데 부산 체험할 것 알려줘,0,0,0,0,0,0,1
1004,부산 어 분위기 있는 곳 알려줘,0,0,1,0,0,0,0
3296,부산 친구랑 할만한 것 혹시 부탁해,0,0,0,0,0,0,1
394,아 부산 액티비티,0,0,0,0,0,0,1
2209,근데 부산 친절한 숙소 추천해주세요,0,0,0,1,0,0,0
3479,있잖아 부산 분위기 있는 카페 알려줘,0,0,0,0,0,1,0
2529,있잖아 부산 분위기 있는 곳 부탁드려요,0,0,1,0,0,0,0
671,부산 뷰가 좋은 숙소 추천해줘,0,0,0,1,0,0,0
2459,부산 가까운 곳 혹시 알려주세요,0,0,1,0,0,0,0
1039,부산 분위기 있는 곳 저기 추천해줘,0,0,1,0,0,0,0
10,부산은 어디가 좋아?,1,0,0,0,0,0,0
438,부산 친구랑 놀기 좋은 곳 알려줘,1,0,0,0,0,0,0
2157,부산 근데 분위기 있는 숙소 부탁해,0,0,0,1,0,0,0
2115,부산 있잖아 분위기 있는 숙소 알려줘,0,0,0,1,0,0,0
1852,부산 조용한 곳 추천해 저기 주실 수 있나요?,0,0,1,0,0,0,0
3005,부산은 가까운 곳 어 좋아?,0,0,1,0,0,0,0
460,부산 웨이팅 없는 곳 추천해줘,0,0,1,0,0,0,0
157,아 부산 관광지 부탁드려요,1,0,0,0,0,0,0
248,부산 맛집 혹시 알려줄 수 있나요?,0,0,1,0,0,0,0
3390,부산 재미있는 거 추천해 음 주실 수 있나요?,0,0,0,0,0,0,1
2711,부산 분위기 있는 곳 알려줄 어 수 있나요?,0,0,1,0,0,0,0
2124,있잖아 부산 깨끗한 숙소 부탁드려요,0,0,0,1,0,0,0
1100,부산은 흠 부모님과 가기 좋은 곳 좋아?,0,0,1,0,0,0,0
2206,부산 분위기 있는 숙소 혹시 추천해줘,0,0,0,1,0,0,0
2781,근데 부산 친절한 곳 부탁할게,0,0,1,0,0,0,0
3647,부산 가까운 카페 음 알려주세요,0,0,0,0,0,1,0
569,부산 감성적인 곳 알려줄 수 있나요?,0,0,1,0,0,0,0
1263,어 부산 추위 부탁할게,0,1,0,0,0,0,0
2668,어 부산 데이트하기 좋은 곳 알려주세요,0,0,1,0,0,0,0
3762,부산 커피 전문점 저기 추천해주세요,0,0,0,0,0,1,0
1546,부산 어 조용한 곳 부탁할게,0,0,1,0,0,0,0
3759,부산 혹시 분위기 있는 카페 추천해주세요,0,0,0,0,0,1,0
3427,부산 근데 디저트 맛있는 곳 알려주세요,0,0,1,0,0,0,0
2975,부산 예쁜 곳 있잖아 추천해 주실 수 있나요?,0,0,1,0,0,0,0
2043,부산 예쁜 곳 추천해 혹시 주실 수 있나요?,0,0,1,0,0,0,0
2759,어 부산 부모님과 가기 좋은 곳 부탁드려요,0,0,1,0,0,0,0
228,부산 놀만한곳 혹시 부탁할게,1,0,0,0,0,0,0
1032,음 부산 데이트하기 좋은 곳 추천해줘,0,0,1,0,0,0,0
1475,아 부산 부모님과 가기 좋은 곳 부탁드려요,0,0,1,0,0,0,0
1064,부산 혹시 웨이팅 없는 곳 어디야?,0,0,1,0,0,0,0
2742,부산 가까운 곳 혹시 알려줘,0,0,1,0,0,0,0
3418,어 부산 커피 전문점 알려주세요,0,0,0,0,0,1,0
2268,부산 저기 뷰가 좋은 숙소 알려주세요,0,0,0,1,0,0,0
3433,부산 근데 가까운 카페 알려주세요,0,0,0,0,0,1,0
3059,부산은 어 데이트하기 좋은 곳 좋아?,0,0,1,0,0,0,0
1266,부산 흠 더위 부탁할게,0,1,0,0,0,0,0
802,부산 디저트 맛있는 곳 부탁해,0,0,1,0,0,0,0
3422,어 부산 전망 좋은 카페 알려주세요,0,0,0,0,0,1,0
3309,부산 음 일일 체험 부탁할게,0,0,0,0,0,0,1
3478,있잖아 부산 전망 좋은 카페 알려줘,0,0,0,0,0,1,0
623,부산 깨끗한 숙소,0,0,0,1,0,0,0
906,부산 가까운 곳 혹시 어디야?,0,0,1,0,0,0,0
1040,부산 감성적인 곳 저기 추천해줘,0,0,1,0,0,0,0
2156,부산 근데 주차공간이 넓은 숙소 부탁해,0,0,0,1,0,0,0
1380,부산 저기 친구랑 놀기 좋은 곳,1,0,0,0,0,0,0
3714,부산 어 커피 전문점 부탁해,0,0,0,0,0,1,0
713,부산 친구랑 할만한 것 알려주세요,0,0,0,0,0,0,1
1336,흠 부산 밖에 부탁해,0,1,0,0,0,0,0
957,부산 깨끗한 숙소 아 알려줘,0,0,0,1,0,0,0
3430,부산 근데 전망 좋은 카페 알려주세요,0,0,0,0,0,1,0
1758,부산 저기 분위기 있는 곳 부탁해,0,0,1,0,0,0,0
3163,부산 흠 일일 체험,0,0,0,0,0,0,1
1518,부산 감성적인 곳 저기 부탁해,0,0,1,0,0,0,0
2330,근데 부산 친절한 숙소 부탁해,0,0,0,1,0,0,0
1034,음 부산 부모님과 가기 좋은 곳 추천해줘,0,0,1,0,0,0,0
1965,부산 근데 감성적인 곳 부탁할게,0,0,1,0,0,0,0
3213,부산 가족과 할만한 것 음 알려줄 수 있나요?,0,0,0,0,0,0,1
2933,부산 혹시 예쁜 곳 부탁해,0,0,1,0,0,0,0
2264,부산 저기 유명한 숙소 알려주세요,0,0,0,1,0,0,0
2873,음 부산 친절한 곳 알려줄 수 있나요?,0,0,1,0,0,0,0
125,아 부산 날씨 알려주세요,0,1,0,0,0,0,0
2601,부산 주차하기 편한 곳 음 추천해줘,0,0,1,0,0,0,0
1513,부산 있잖아 주차하기 편한 곳 부탁해,0,0,1,0,0,0,0
933,부산 분위기 있는 곳 아 추천해줘,0,0,1,0,0,0,0
2000,부산 주차하기 편한 곳 흠 추천해줘,0,0,1,0,0,0,0
1526,부산 조용한 곳 저기 부탁해,0,0,1,0,0,0,0
2517,부산 맛있는 곳 저기 알려줘,0,0,1,0,0,0,0
595,부산 부모님과 가기 좋은 곳 부탁해,0,0,1,0,0,0,0
299,어 부산 맛집 추천해 주실 수 있나요?,0,0,1,0,0,0,0
2553,흠 부산 분위기 있는 곳 부탁해,0,0,1,0,0,0,0
2238,부산 깨끗한 숙소 추천해 주실 수 흠 있나요?,0,0,0,1,0,0,0
486,부산은 분위기 있는 곳 좋아?,0,0,1,0,0,0,0
1644,혹시 부산 조용한 곳,0,0,1,0,0,0,0
3643,부산 음료 맛있는 카페 음 알려주세요,0,0,0,0,0,1,0
898,부산 흠 예쁜 곳 어디야?,0,0,1,0,0,0,0
1330,아 부산 더위 부탁드려요,0,1,0,0,0,0,0
3294,부산 재미있는 거 혹시 부탁해,0,0,0,0,0,0,1
3690,저기 부산 커피 전문점 부탁드려요,0,0,0,0,0,1,0
3660,부산 전망 좋은 카페 흠 알려줄 수 있나요?,0,0,0,0,0,1,0
1765,부산 저기 데이트하기 좋은 곳 부탁해,0,0,1,0,0,0,0
3593,부산 아 가까운 카페 추천해주세요,0,0,0,0,0,1,0
1273,저기 부산 온도 추천해주세요,0,1,0,0,0,0,0
577,부산 분위기 있는 곳 부탁드려요,0,0,1,0,0,0,0
1012,부산 어 부모님과 가기 좋은 곳 알려줘,0,0,1,0,0,0,0
1410,부산 친구랑 놀기 좋은 곳 있잖아 알려주세요,1,0,0,0,0,0,0
1070,부산 혹시 조용한 곳 어디야?,0,0,1,0,0,0,0
2027,부산 가까운 곳 혹시 추천해주세요,0,0,1,0,0,0,0
1497,음 부산 분위기 있는 곳 부탁해,0,0,1,0,0,0,0
1548,부산 감성적인 곳 어 부탁할게,0,0,1,0,0,0,0
2316,부산 음 친절한 숙소 부탁드려요,0,0,0,1,0,0,0
2992,부산은 혹시 분위기 있는 곳 좋아?,0,0,1,0,0,0,0
2104,흠 부산 친절한 숙소 알려줘,0,0,0,1,0,0,0
1132,부산 재미있는 거 근데 추천해줘,0,0,0,0,0,0,1
1239,근데 부산 추위 부탁드려요,0,1,0,0,0,0,0
3154,저기 부산 신기한 체험,0,0,0,0,0,0,1
2934,부산 혹시 주차하기 편한 곳 부탁해,0,0,1,0,0,0,0
2259,있잖아 부산 주차공간이 넓은 숙소 알려주세요,0,0,0,1,0,0,0
422,있잖아 부산 액티비티 추천해 주실 수 있나요?,0,0,0,0,0,0,1
1766,부산 저기 부모님과 가기 좋은 곳 부탁해,0,0,1,0,0,0,0
932,부산 저기 조용한 곳 추천해줘,0,0,1,0,0,0,0
2726,부산 친절한 곳 알려줄 수 어 있나요?,0,0,1,0,0,0,0
2764,부산 친절한 곳 흠 부탁드려요,0,0,1,0,0,0,0
1525,부산 부모님과 가기 좋은 곳 저기 부탁해,0,0,1,0,0,0,0
1773,부산 예쁜 곳 음 부탁해,0,0,1,0,0,0,0
3039,부산은 데이트하기 좋은 곳 음 좋아?,0,0,1,0,0,0,0
1412,부산 웨이팅 없는 곳 있잖아 알려주세요,0,0,1,0,0,0,0
2881,부산 웨이팅 없는 곳 근데 알려줄 수 있나요?,0,0,1,0,0,0,0
1221,부산 온도 알려줄 수 흠 있나요?,0,1,0,0,0,0,0
1613,부산 데이트하기 좋은 곳 저기 추천해주세요,0,0,1,0,0,0,0
2164,부산 분위기 있는 숙소 아 부탁해,0,0,0,1,0,0,0
2870,음 부산 웨이팅 없는 곳 알려줄 수 있나요?,0,0,1,0,0,0,0
1145,부산 있잖아 디저트 맛있는 곳 추천해줘,0,0,1,0,0,0,0
2132,부산 흠 친절한 숙소 부탁드려요,0,0,0,1,0,0,0
227,부산 근데 놀만한곳 부탁할게,1,0,0,0,0,0,0
2692,혹시 부산 조용한 곳 알려줄 수 있나요?,0,0,1,0,0,0,0
547,부산 추위 추천해주세요,0,1,0,0,0,0,0
573,부산 예쁜 곳 알려줄 수 있나요?,0,0,1,0,0,0,0
2886,부산 친절한 곳 알려줄 아 수 있나요?,0,0,1,0,0,0,0
1238,근데 부산 더위 부탁드려요,0,1,0,0,0,0,0
273,부산 맛집 추천해 주실 있잖아 수 있나요?,0,0,1,0,0,0,0
2995,부산은 혹시 가까운 곳 좋아?,0,0,1,0,0,0,0
1177,부산 디저트 맛있는 곳 있잖아 알려줘,0,0,1,0,0,0,0
558,부산 분위기 있는 곳 알려주세요,0,0,1,0,0,0,0
2188,어 부산 친절한 숙소 추천해줘,0,0,0,1,0,0,0
3524,부산 음 디저트 많은 곳 부탁해,0,0,0,0,0,1,0
3545,있잖아 부산 가까운 카페 부탁할게,0,0,0,0,0,1,0
2932,부산 혹시 웨이팅 없는 곳 부탁해,0,0,1,0,0,0,0
2683,부산 부모님과 가기 좋은 곳 아 알려주세요,0,0,1,0,0,0,0
2079,부산 주위가 조용한 숙소 어 알려주세요,0,0,0,1,0,0,0
3179,부산 혹시 일일 체험 알려주세요,0,0,0,0,0,0,1
1918,부산 분위기 있는 곳 알려줄 수 혹시 있나요?,0,0,1,0,0,0,0
2031,부산 데이트하기 좋은 곳 혹시 추천해주세요,0,0,1,0,0,0,0
2605,부산 조용한 곳 음 추천해줘,0,0,1,0,0,0,0
836,부산 아 추위 어때?,0,1,0,0,0,0,0
1173,부산 아 분위기 있는 카페 알려줘,0,0,0,0,0,1,0
1349,근데 부산 온도 부탁할게,0,1,0,0,0,0,0
3661,부산 분위기 있는 카페 흠 알려줄 수 있나요?,0,0,0,0,0,1,0
2049,저기 부산 친절한 숙소,0,0,0,1,0,0,0
2520,부산 가까운 곳 저기 알려줘,0,0,1,0,0,0,0
3552,부산 저기 메뉴가 다양한 카페 부탁할게,0,0,0,0,0,1,0
1593,있잖아 부산 주차하기 편한 곳 추천해주세요,0,0,1,0,0,0,0
855,어 부산 친구랑 놀기 좋은 곳 알려줘,1,0,0,0,0,0,0
784,부산 가까운 카페 알려주세요,0,0,0,0,0,1,0
825,부산 커피 전문점 추천해 주실 수 있나요?,0,0,0,0,0,1,0
1857,부산 조용한 곳 추천해 주실 수 흠 있나요?,0,0,1,0,0,0,0
2805,혹시 부산 조용한 곳 추천해주세요,0,0,1,0,0,0,0
432,부산 밖에 알려줘,0,1,0,0,0,0,0
1051,근데 부산 감성적인 곳 어디야?,0,0,1,0,0,0,0
2194,부산 있잖아 깨끗한 숙소 추천해줘,0,0,0,1,0,0,0
1848,부산 예쁜 곳 흠 추천해 주실 수 있나요?,0,0,1,0,0,0,0
3517,아 부산 음료 맛있는 카페 부탁해,0,0,0,0,0,1,0
1144,부산 있잖아 커피 전문점 추천해줘,0,0,0,0,0,1,0
2761,부산 있잖아 맛있는 곳 부탁드려요,0,0,1,0,0,0,0
816,부산 가까운 카페 부탁할게,0,0,0,0,0,1,0
292,부산 맛집 음 부탁해,0,0,1,0,0,0,0
3331,부산 음 놀만한 것 추천해줘,0,0,0,0,0,0,1
1026,음 부산 분위기 있는 곳 추천해줘,0,0,1,0,0,0,0
1906,부산 흠 가까운 곳 알려줄 수 있나요?,0,0,1,0,0,0,0
2038,부산 감성적인 곳 어 추천해 주실 수 있나요?,0,0,1,0,0,0,0
2494,부산 조용한 곳 알려줄 음 수 있나요?,0,0,1,0,0,0,0
146,부산 저기 관광지,1,0,0,0,0,0,0
3443,아 부산 디저트 맛있는 곳 알려줄 수 있나요?,0,0,1,0,0,0,0
3285,부산 음 일일 체험 부탁해,0,0,0,0,0,0,1
3735,부산 아 분위기 있는 카페 추천해줘,0,0,0,0,0,1,0
2389,저기 부산 주차공간이 넓은 숙소 추천해주세요,0,0,0,1,0,0,0
1751,있잖아 부산 가까운 곳 부탁해,0,0,1,0,0,0,0
1792,부산 혹시 웨이팅 없는 곳 부탁할게,0,0,1,0,0,0,0
2463,부산 데이트하기 좋은 곳 혹시 알려주세요,0,0,1,0,0,0,0
3281,흠 부산 가족과 할만한 것 부탁해,0,0,0,0,0,0,1
172,흠 부산 관광지 추천해 주실 수 있나요?,1,0,0,0,0,0,0
2661,어 부산 맛있는 곳 알려주세요,0,0,1,0,0,0,0
470,부산 주차공간이 넓은 숙소 알려줘,0,0,0,1,0,0,0
3674,부산 흠 커피 전문점 알려줘,0,0,0,0,0,1,0
3471,부산 전망 좋은 카페 알려줄 수 아 있나요?,0,0,0,0,0,1,0
1748,있잖아 부산 분위기 있는 곳 부탁해,0,0,1,0,0,0,0
3463,부산 커피 전문점 알려줄 저기 수 있나요?,0,0,0,0,0,1,0
3275,흠 부산 놀만한 것 부탁해,0,0,0,0,0,0,1
204,부산 관광지 추천해 저기 주실 수 있나요?,1,0,0,0,0,0,0
774,부산 분위기 있는 카페,0,0,0,0,0,1,0
3307,부산 음 놀만한 것 부탁할게,0,0,0,0,0,0,1
2118,부산 친절한 숙소 있잖아 알려줘,0,0,0,1,0,0,0
602,부산 예쁜 곳 부탁할게,0,0,1,0,0,0,0
1038,부산 맛있는 곳 저기 추천해줘,0,0,1,0,0,0,0
304,어 부산 맛집,0,0,1,0,0,0,0
3208,부산 신기한 체험 음 알려줄 수 있나요?,0,0,0,0,0,0,1
3474,있잖아 부산 커피 전문점 알려줘,0,0,0,0,0,1,0
3314,부산 체험할 것 있잖아 부탁할게,0,0,0,0,0,0,1
979,부산 친절한 숙소 어 추천 좀,0,0,0,1,0,0,0
549,부산 감성적인 곳,0,0,1,0,0,0,0
3467,부산 커피 전문점 알려줄 수 아 있나요?,0,0,0,0,0,1,0
218,부산 흠 놀만한곳 알려줘,1,0,0,0,0,0,0
1854,부산 감성적인 곳 추천해 주실 수 흠 있나요?,0,0,1,0,0,0,0
1607,부산 감성적인 곳 저기 추천해주세요,0,0,1,0,0,0,0
576,부산 조용한 곳 알려줄 수 있나요?,0,0,1,0,0,0,0
2573,부산 친절한 곳 근데 부탁해,0,0,1,0,0,0,0
445,부산 조용한 곳 알려줘,0,0,1,0,0,0,0
2967,부산 맛있는 곳 음 추천해주세요,0,0,1,0,0,0,0
627,부산 주차공간이 넓은 숙소,0,0,0,1,0,0,0
347,부산은 근데 어디가 좋아?,1,0,0,0,0,0,0
341,아 반가워,0,0,0,0,1,0,0
3401,부산 유명한 거 추천해 주실 수 음 있나요?,0,0,0,0,0,0,1
777,부산 커피 전문점 알려주세요,0,0,0,0,0,1,0
436,부산 분위기 있는 곳 알려줘,0,0,1,0,0,0,0
2340,부산 어 주차공간이 넓은 숙소 부탁해,0,0,0,1,0,0,0
499,부산 일일 체험 추천해줘,0,0,0,0,0,0,1
303,부산 맛집 추천해 주실 수 흠 있나요?,0,0,1,0,0,0,0
926,부산 저기 가까운 곳 추천해줘,0,0,1,0,0,0,0
675,부산 주위가 조용한 숙소 추천해주세요,0,0,0,1,0,0,0
2074,부산 아 분위기 있는 숙소 알려주세요,0,0,0,1,0,0,0
260,혹시 부산 맛집 부탁할게,0,0,1,0,0,0,0
927,부산 저기 웨이팅 없는 곳 추천해줘,0,0,1,0,0,0,0
584,부산 데이트하기 좋은 곳 부탁드려요,0,0,1,0,0,0,0
2969,부산 음 맛있는 곳 추천해 주실 수 있나요?,0,0,1,0,0,0,0
3561,부산 가까운 카페 음 부탁할게,0,0,0,0,0,1,0
2814,부산 주차하기 편한 곳 어 추천해주세요,0,0,1,0,0,0,0
2136,부산 흠 분위기 있는 숙소 부탁드려요,0,0,0,1,0,0,0
241,근데 부산 맛집,0,0,1,0,0,0,0
1729,부산 혹시 감성적인 곳 부탁드려요,0,0,1,0,0,0,0
2322,부산 깨끗한 숙소 근데 부탁드려요,0,0,0,1,0,0,0
2680,부산 주차하기 편한 곳 아 알려주세요,0,0,1,0,0,0,0
2823,어 부산 친절한 곳 추천해 주실 수 있나요?,0,0,1,0,0,0,0
1605,부산 흠 조용한 곳 추천해주세요,0,0,1,0,0,0,0
896,부산 흠 가까운 곳 어디야?,0,0,1,0,0,0,0
1552,부산 예쁜 곳 어 부탁할게,0,0,1,0,0,0,0
2099,부산 친절한 숙소 알려줄 수 아 있나요?,0,0,0,1,0,0,0
1344,부산 밖에 혹시 부탁해,0,1,0,0,0,0,0
2639,음 부산 맛있는 곳 추천해 주실 수 있나요?,0,0,1,0,0,0,0
3335,부산 음 유명한 거 추천해줘,0,0,0,0,0,0,1
1777,부산 조용한 곳 음 부탁해,0,0,1,0,0,0,0
81,부산 맛집 음 알려줘,0,0,1,0,0,0,0
2645,부산 저기 맛있는 곳 추천해 주실 수 있나요?,0,0,1,0,0,0,0
1544,부산 어 데이트하기 좋은 곳 부탁할게,0,0,1,0,0,0,0
1164,근데 부산 전망 좋은 카페 알려줘,0,0,0,0,0,1,0
1592,있잖아 부산 예쁜 곳 추천해주세요,0,0,1,0,0,0,0
54,부산 활동 추천해 주실 수 있나요?,0,0,0,0,0,0,1
138,부산 흠 날씨 부탁해,0,1,0,0,0,0,0
2032,부산 부모님과 가기 좋은 곳 혹시 추천해주세요,0,0,1,0,0,0,0
1400,부산 혹시 친구랑 놀기 좋은 곳 알려주세요,1,0,0,0,0,0,0
1447,부산 흠 분위기 있는 곳 알려줘,0,0,1,0,0,0,0
1179,부산 음료 맛있는 카페 있잖아 알려줘,0,0,0,0,0,1,0
2462,부산 주차하기 편한 곳 혹시 알려주세요,0,0,1,0,0,0,0
2250,부산 흠 유명한 숙소,0,0,0,1,0,0,0
1647,부산 근데 친구랑 놀기 좋은 곳,1,0,0,0,0,0,0
1851,부산 예쁜 곳 추천해 저기 주실 수 있나요?,0,0,1,0,0,0,0
681,부산 유명한 숙소 추천해 주실 수 있나요?,0,0,0,1,0,0,0
2346,부산 주위가 조용한 숙소 어 부탁해,0,0,0,1,0,0,0
250,부산 맛집 알려줄 수 아 있나요?,0,0,1,0,0,0,0
1573,부산 음 주차하기 편한 곳 추천해줘,0,0,1,0,0,0,0
2914,부산 혹시 친절한 곳 부탁드려요,0,0,1,0,0,0,0
2300,근데 부산 뷰가 좋은 숙소 알려줘,0,0,0,1,0,0,0
3061,부산은 어 조용한 곳 좋아?,0,0,1,0,0,0,0
536,부산 밖에 부탁해,0,1,0,0,0,0,0
2756,어 부산 주차하기 편한 곳 부탁드려요,0,0,1,0,0,0,0
1784,근데 부산 주차하기 편한 곳 부탁할게,0,0,1,0,0,0,0
2859,부산 근데 주차하기 편한 곳 알려주세요,0,0,1,0,0,0,0
1077,부산 주차하기 편한 곳 있잖아 어디야?,0,0,1,0,0,0,0
866,부산 있잖아 가까운 곳 알려줘,0,0,1,0,0,0,0
751,부산 재미있는 거 부탁할게,0,0,0,0,0,0,1
3590,부산 아 전망 좋은 카페 추천해주세요,0,0,0,0,0,1,0
2133,부산 흠 유명한 숙소 부탁드려요,0,0,0,1,0,0,0
3518,아 부산 전망 좋은 카페 부탁해,0,0,0,0,0,1,0
783,부산 메뉴가 다양한 카페 알려주세요,0,0,0,0,0,1,0
3195,음 부산 일일 체험 알려줄 수 있나요?,0,0,0,0,0,0,1
3014,혹시 부산은 친구랑 놀기 좋은 곳 좋아?,1,0,0,0,0,0,0
3245,부산 일일 체험 흠 알려줘,0,0,0,0,0,0,1
1463,부산 주차하기 편한 곳 아 알려줘,0,0,1,0,0,0,0
47,부산 활동 알려주세요,0,0,0,0,0,0,1
2396,부산 음 주차공간이 넓은 숙소 추천해주세요,0,0,0,1,0,0,0
3454,부산 어 분위기 있는 카페 알려줄 수 있나요?,0,0,0,0,0,1,0
3232,근데 부산 친구랑 할만한 것 알려줘,0,0,0,0,0,0,1
2367,부산 주위가 조용한 숙소 있잖아 부탁할게,0,0,0,1,0,0,0
3563,저기 부산 디저트 맛있는 곳 추천해줘,0,0,1,0,0,0,0
509,부산 분위기 있는 카페 추천해줘,0,0,0,0,0,1,0
3133,부산은 있잖아 감성적인 곳 좋아?,0,0,1,0,0,0,0
2433,부산 아 조용한 곳,0,0,1,0,0,0,0
2329,근데 부산 깨끗한 숙소 부탁해,0,0,0,1,0,0,0
2078,부산 유명한 숙소 어 알려주세요,0,0,0,1,0,0,0
1141,혹시 부산 분위기 있는 카페 추천해줘,0,0,0,0,0,1,0
579,부산 친구랑 놀기 좋은 곳 부탁드려요,1,0,0,0,0,0,0
3730,부산 아 커피 전문점 추천해줘,0,0,0,0,0,1,0
2474,흠 부산 친절한 곳 알려줄 수 있나요?,0,0,1,0,0,0,0
2864,부산 맛있는 곳 근데 알려주세요,0,0,1,0,0,0,0
2667,어 부산 주차하기 편한 곳 알려주세요,0,0,1,0,0,0,0
428,부산 밖에 어때?,0,1,0,0,0,0,0
34,부산 놀만한곳 부탁해,1,0,0,0,0,0,0
707,부산 체험할 것 알려주세요,0,0,0,0,0,0,1
1103,부산은 감성적인 곳 저기 좋아?,0,0,1,0,0,0,0
3743,부산 분위기 있는 카페 있잖아 추천해줘,0,0,0,0,0,1,0
370,근데 부산 활동 알려줘,0,0,0,0,0,0,1
485,부산 친절한 곳 어디야?,0,0,1,0,0,0,0
2479,부산 근데 가까운 곳 알려줄 수 있나요?,0,0,1,0,0,0,0
1966,부산 근데 친구랑 놀기 좋은 곳 부탁할게,1,0,0,0,0,0,0
571,부산 가까운 곳 알려줄 수 있나요?,0,0,1,0,0,0,0
599,부산 친구랑 놀기 좋은 곳 부탁할게,1,0,0,0,0,0,0
3240,부산 흠 친구랑 할만한 것 알려줘,0,0,0,0,0,0,1
233,부산 아 놀만한곳 추천해주세요,1,0,0,0,0,0,0
1563,있잖아 부산 주차하기 편한 곳 추천해줘,0,0,1,0,0,0,0
3103,부산은 아 감성적인 곳 좋아?,0,0,1,0,0,0,0
